lat_round,lon_round,count
41.703,-87.628,1
41.703,-87.622,1
41.703,-87.614,2
41.703,-87.563,1
41.703,-87.54,1
41.703,-87.536,3
41.703,-87.526,1
41.704,-87.683,1
41.704,-87.645,1
41.704,-87.631,1
41.704,-87.62,1
41.704,-87.605,1
41.704,-87.564,1
41.704,-87.535,1
41.705,-87.682,1
41.705,-87.646,1
41.705,-87.642,1
41.705,-87.636,2
41.705,-87.634,1
41.705,-87.628,1
41.705,-87.626,1
41.705,-87.623,1
41.705,-87.621,1
41.705,-87.619,1
41.705,-87.616,1
41.705,-87.607,1
41.705,-87.604,1
41.705,-87.603,1
41.705,-87.538,1
41.706,-87.703,1
41.706,-87.687,1
41.706,-87.682,1
41.706,-87.643,1
41.706,-87.64,1
41.706,-87.639,1
41.706,-87.634,1
41.706,-87.62,1
41.706,-87.604,1
41.706,-87.601,1
41.706,-87.566,1
41.706,-87.56,2
41.706,-87.54,1
41.707,-87.666,1
41.707,-87.657,1
41.707,-87.652,1
41.707,-87.644,1
41.707,-87.642,1
41.707,-87.632,1
41.707,-87.629,2
41.707,-87.625,1
41.707,-87.624,1
41.707,-87.62,6
41.707,-87.618,2
41.707,-87.617,1
41.707,-87.616,1
41.707,-87.613,2
41.707,-87.61,1
41.707,-87.606,2
41.707,-87.605,1
41.708,-87.653,1
41.708,-87.645,1
41.708,-87.64,1
41.708,-87.639,1
41.708,-87.634,2
41.708,-87.631,1
41.708,-87.624,1
41.708,-87.62,1
41.708,-87.619,1
41.708,-87.608,1
41.708,-87.563,1
41.708,-87.561,1
41.708,-87.534,1
41.709,-87.631,1
41.709,-87.624,1
41.709,-87.616,1
41.709,-87.613,2
41.709,-87.611,1
41.709,-87.609,1
41.709,-87.608,1
41.71,-87.682,1
41.71,-87.65,1
41.71,-87.64,2
41.71,-87.634,2
41.71,-87.631,1
41.71,-87.627,2
41.71,-87.619,1
41.71,-87.616,1
41.71,-87.611,1
41.71,-87.564,1
41.711,-87.686,1
41.711,-87.624,1
41.711,-87.598,1
41.711,-87.597,1
41.711,-87.566,1
41.711,-87.562,1
41.712,-87.671,1
41.712,-87.643,2
41.712,-87.63,1
41.712,-87.628,1
41.712,-87.62,5
41.713,-87.637,1
41.713,-87.634,1
41.713,-87.605,1
41.713,-87.569,1
41.713,-87.562,1
41.714,-87.675,1
41.714,-87.643,4
41.714,-87.628,1
41.714,-87.622,1
41.714,-87.605,1
41.715,-87.614,1
41.715,-87.604,1
41.715,-87.573,1
41.715,-87.569,1
41.715,-87.568,1
41.715,-87.563,1
41.715,-87.561,2
41.715,-87.535,1
41.716,-87.643,1
41.716,-87.641,1
41.716,-87.629,1
41.716,-87.62,1
41.716,-87.603,1
41.716,-87.571,1
41.717,-87.659,1
41.717,-87.634,1
41.717,-87.63,1
41.717,-87.62,1
41.717,-87.604,1
41.717,-87.576,1
41.717,-87.571,1
41.717,-87.538,1
41.717,-87.535,1
41.718,-87.658,1
41.718,-87.632,2
41.718,-87.568,1
41.718,-87.565,1
41.718,-87.527,1
41.719,-87.655,1
41.719,-87.654,1
41.719,-87.648,1
41.719,-87.637,1
41.719,-87.629,1
41.719,-87.625,1
41.719,-87.574,1
